datetime,values
2025-05-14T08:20:00Z+0000,100.4
2025-05-14T08:30:00Z+0000,100.4
2025-05-14T08:40:00Z+0000,100.4
2025-05-14T08:50:00Z+0000,100.4
2025-05-14T09:00:00Z+0000,100.4
2025-05-14T09:10:00Z+0000,100.4
2025-05-14T09:20:00Z+0000,100.4
2025-05-14T09:30:00Z+0000,100.4
2025-05-14T09:40:00Z+0000,100.4
2025-05-14T09:50:00Z+0000,99.3
2025-05-14T10:00:00Z+0000,99.9
2025-05-14T10:10:00Z+0000,97.7
2025-05-14T10:20:00Z+0000,99.4
2025-05-14T10:30:00Z+0000,96.0
2025-05-14T10:40:00Z+0000,93.1
2025-05-14T10:50:00Z+0000,94.5
2025-05-14T11:00:00Z+0000,98.4
2025-05-14T11:10:00Z+0000,97.1
2025-05-14T11:20:00Z+0000,96.8
2025-05-14T11:30:00Z+0000,95.2
2025-05-14T11:40:00Z+0000,95.0
2025-05-14T11:50:00Z+0000,97.9
2025-05-14T12:00:00Z+0000,95.1
2025-05-14T12:10:00Z+0000,94.6
2025-05-14T12:20:00Z+0000,87.4
2025-05-14T12:30:00Z+0000,81.3
2025-05-14T12:40:00Z+0000,75.1
2025-05-14T12:50:00Z+0000,83.8
2025-05-14T13:00:00Z+0000,79.3
2025-05-14T13:10:00Z+0000,79.5
2025-05-14T13:20:00Z+0000,76.7
2025-05-14T13:30:00Z+0000,74.2
2025-05-14T13:40:00Z+0000,69.8
2025-05-14T13:50:00Z+0000,72.8
2025-05-14T14:00:00Z+0000,75.9
2025-05-14T14:10:00Z+0000,77.3
2025-05-14T14:20:00Z+0000,76.3
2025-05-14T14:30:00Z+0000,77.3
2025-05-14T14:40:00Z+0000,76.4
2025-05-14T14:50:00Z+0000,76.6
2025-05-14T15:00:00Z+0000,75.3
2025-05-14T15:10:00Z+0000,77.2
2025-05-14T15:20:00Z+0000,79.6
2025-05-14T15:30:00Z+0000,77.8
2025-05-14T15:40:00Z+0000,75.1
2025-05-14T15:50:00Z+0000,78.2
2025-05-14T16:00:00Z+0000,76.0
2025-05-14T16:10:00Z+0000,73.4
2025-05-14T16:20:00Z+0000,74.7
2025-05-14T16:30:00Z+0000,78.8
2025-05-14T16:40:00Z+0000,78.7
2025-05-14T16:50:00Z+0000,72.7
2025-05-14T17:00:00Z+0000,65.2
2025-05-14T17:10:00Z+0000,68.0
2025-05-14T17:20:00Z+0000,65.4
2025-05-14T17:30:00Z+0000,64.8
2025-05-14T17:40:00Z+0000,65.7
2025-05-14T17:50:00Z+0000,66.3
2025-05-14T18:00:00Z+0000,67.4
2025-05-14T18:10:00Z+0000,68.6
2025-05-14T18:20:00Z+0000,73.6
2025-05-14T18:30:00Z+0000,75.4
2025-05-14T18:40:00Z+0000,78.0
2025-05-14T18:50:00Z+0000,77.0
2025-05-14T19:00:00Z+0000,73.0
2025-05-14T19:10:00Z+0000,76.1
2025-05-14T19:20:00Z+0000,71.2
2025-05-14T19:30:00Z+0000,70.9
2025-05-14T19:40:00Z+0000,72.0
2025-05-14T19:50:00Z+0000,72.7
2025-05-14T20:00:00Z+0000,71.2
2025-05-14T20:10:00Z+0000,71.1
2025-05-14T20:20:00Z+0000,71.8
2025-05-14T20:30:00Z+0000,73.0
2025-05-14T20:40:00Z+0000,73.6
2025-05-14T20:50:00Z+0000,73.7
2025-05-14T21:00:00Z+0000,72.2
2025-05-14T21:10:00Z+0000,70.4
2025-05-14T21:20:00Z+0000,70.6
2025-05-14T21:30:00Z+0000,69.4
2025-05-14T21:40:00Z+0000,68.6
2025-05-14T21:50:00Z+0000,68.5
2025-05-14T22:00:00Z+0000,67.6
2025-05-14T22:10:00Z+0000,69.0
2025-05-14T22:20:00Z+0000,69.9
2025-05-14T22:30:00Z+0000,70.0
2025-05-14T22:40:00Z+0000,70.5
2025-05-14T22:50:00Z+0000,71.0
2025-05-14T23:00:00Z+0000,72.1
2025-05-14T23:10:00Z+0000,73.0
2025-05-14T23:20:00Z+0000,72.7
2025-05-14T23:30:00Z+0000,72.8
2025-05-14T23:40:00Z+0000,73.6
2025-05-14T23:50:00Z+0000,72.4
2025-05-15T00:00:00Z+0000,73.2
2025-05-15T00:10:00Z+0000,72.8
2025-05-15T00:20:00Z+0000,72.7
2025-05-15T00:30:00Z+0000,73.3
2025-05-15T00:40:00Z+0000,74.7
2025-05-15T00:50:00Z+0000,77.5
2025-05-15T01:00:00Z+0000,78.3
2025-05-15T01:10:00Z+0000,81.1
2025-05-15T01:20:00Z+0000,83.3
2025-05-15T01:30:00Z+0000,83.3
2025-05-15T01:40:00Z+0000,82.8
2025-05-15T01:50:00Z+0000,82.3
2025-05-15T02:00:00Z+0000,82.2
2025-05-15T02:10:00Z+0000,81.6
2025-05-15T02:20:00Z+0000,82.1
2025-05-15T02:30:00Z+0000,82.4
2025-05-15T02:40:00Z+0000,81.8
2025-05-15T02:50:00Z+0000,80.7
2025-05-15T03:00:00Z+0000,77.7
2025-05-15T03:10:00Z+0000,76.3
2025-05-15T03:20:00Z+0000,75.2
2025-05-15T03:30:00Z+0000,74.2
2025-05-15T03:40:00Z+0000,71.7
2025-05-15T03:50:00Z+0000,70.3
2025-05-15T04:00:00Z+0000,69.1
2025-05-15T04:10:00Z+0000,67.7
2025-05-15T04:20:00Z+0000,65.2
2025-05-15T04:30:00Z+0000,66.2
2025-05-15T04:40:00Z+0000,65.6
2025-05-15T04:50:00Z+0000,63.5
2025-05-15T05:00:00Z+0000,64.5
2025-05-15T05:10:00Z+0000,63.4
2025-05-15T05:20:00Z+0000,64.9
2025-05-15T05:30:00Z+0000,63.3
2025-05-15T05:40:00Z+0000,61.8
2025-05-15T05:50:00Z+0000,61.9
2025-05-15T06:00:00Z+0000,60.1
2025-05-15T06:10:00Z+0000,58.8
2025-05-15T06:20:00Z+0000,58.2
2025-05-15T06:30:00Z+0000,54.9
2025-05-15T06:40:00Z+0000,54.5
2025-05-15T06:50:00Z+0000,52.8
2025-05-15T07:00:00Z+0000,52.0
2025-05-15T07:10:00Z+0000,49.8
2025-05-15T07:20:00Z+0000,49.9
2025-05-15T07:30:00Z+0000,50.1
2025-05-15T07:40:00Z+0000,51.6
2025-05-15T07:50:00Z+0000,74.1
2025-05-15T08:00:00Z+0000,67.7
2025-05-15T08:10:00Z+0000,66.1
2025-05-15T08:20:00Z+0000,68.6
2025-05-15T08:30:00Z+0000,62.6
2025-05-15T08:40:00Z+0000,66.1
2025-05-15T08:50:00Z+0000,67.4
2025-05-15T09:00:00Z+0000,69.5
2025-05-15T09:10:00Z+0000,68.8
2025-05-15T09:20:00Z+0000,63.8
2025-05-15T09:30:00Z+0000,66.0
